152,1162,2115,1014,162,성북22,성북20,143,104,171,109,151,1113,1164,1114,110B,7211,1213,153,110A,121,1115,1128,101,144
상도초등학교입구(20150),,삼선동주민센터(08176),,시범아파트(19145),,,휘문중고등학교(23249),삼선교.한성대학교(08010),상암휴먼시아아파트(14165),송천초등학교.미아뉴타운입구(09169),노들섬(03340),,,,용산구보건분소(03182) - 회차,돈암동삼성아파트입구(08123),종암동주민센터(08152),서대문우체국(13010),공덕오거리(14149),뚝섬서울숲남문(04266),,롯데마트삼양점.래미안1차아파트(09161),종로3가역15번출구(01182),구립서초어린이도서관(22119)
성대시장(20147),,성신여대입구(08270),,원효로3가(03147),,,대치동현대아파트(23262),돈암사거리.성신여대입구(08008),월드컵경기장북측(14273),삼양동사거리(09167),노들역앞(20247),,,,문배동등기소앞(03183),돈암1동주민센터(08125),숭례초교(08154),연세대앞(13012),공덕역2번출구(14179),서울숲(04177),,빨래골입구(09159),종로4가.종묘(01180),서초동신동아아파트(22121)
신대방삼거리(20186),,돈암2동주민센터입구.흥천사(08268),,원효로2가사거리(03145),,,농협대치지점(23224),미아리고개.미아리예술극장(08006),성산아파트(14163),강북청소년문화정보도서관입구(09165),흑석동효사정앞(20123),,,,전쟁기념관(03185),종암사거리(08127),고려대역.고대앞삼거리(06174),신촌기차역(13210),동도중학교.서울디자인고등학교(14177),성동구민종합체육센타(04179),,화계사입구(09157),종로5가.광장시장(01178),창신교회앞(22105)
보라매병원입구(20188),,아리랑고개.아리랑시네미디어센터(08266),,남정초등학교(03143),,,대치동국제아파트.서울교회(23225),돈암동삼성아파트입구(08123),성산119안전센터(14161),삼양초등학교(09163),흑석역.흑석동빗물펌프장(20125),,,,녹사평역(03187),종암경찰서(08150),홍파초등학교(06171),신촌역2호선(13142),대흥역(14175),성동교남단(04185),,강북노인종합복지관(09143),종로6가.종로신진시장(01216),서울교대정문앞(22107) - 회차
롯데백화점관악점(21151),,정릉입구(08264),,용산e편한세상(03142),,,대치역(23231),길음동동부아파트(08174),성산2동주민센터(14158),롯데마트삼양점.래미안1차아파트(09161),중앙대학교(20194) - 회차,,,,용산구청.이태원시장(03189),종암동주민센터(08152),제기동주민센터.서울약령시앞(06168),신촌로터리(14204),광성중고등학교(14173),한양대정문앞(04130),,신일병원(09145),동대문(01233),지하철3호선교대역(22101)
패션문화의거리입구(21152),,숭덕초교(08120),,원효로1동.주민센터(03346),,,개포동역(23352),미아초교(08172),중동초등학교(14157),빨래골입구(09159),흑석동효사정앞(20124),,,,이태원역4번출구.해밀턴호텔(03191),숭례초교(08154),엘림교회.대명신협앞(06418),창전현대홈타운(14203),서강대학교(14170),한양대앞.한양시장(04127),,수유역.강북구청(09004),동묘앞(01041),지하철2호선교대역2(22103)
신림사거리(21153),,정릉동태영아파트(08256),,용산경찰서(03140),,,경기여고(23351),송천초등학교.미아뉴타운입구(09169),성산2교(14198),화계사입구(09157),노들섬(03341),,,,이태원119안전센터(03193),고대앞(08156),청량리역환승센터(06019),광흥창역.서강동주민센터(14201),신촌로터리(14169),한양대부속고등학교(04125),,강북구청(09147),신설동역1번출구(06107),서초동유원아파트(22104)
서원동승리교앞(21369),,미화약국.길음뉴타운8단지(08380),,남영역(03111),,,개포3단지.수도전기공고후문(23348),삼양동사거리(09167),연희104고지앞.구성산회관(13008),우이초등학교(09135),한강대교북단.LG유플러스(03001),,,,한남동주민센터(03195),우신향병원(08157),서울성심병원(06114),국회의사당(19280),현대백화점(13259),마장동금호아파트(04123),,광산사거리(09201),대광고등학교앞(06178),롯데칠성(22114)
서원동문화교앞(21154),,열매교회(08254),,숙대입구역(03009),,,시립개포도서관(23466),강북청소년문화정보도서관입구(09165),서대문우체국(13010),가오리수유종합사회복지관(09123),신용산역(03003),,,,한강진역.블루스퀘어(03197),종암초등학교앞(06179),휘경동입구(06117),국회의사당역(19133),동교동삼거리연희동방면(13144),마장역(04117),,쌍문초등학교(10222),안암오거리(06177),지하철2호선강남역(22012)
서림동주민센터.신화단지(21155),,길원초등학교입구(08252),,갈월동(03011),,,개포주공1단지(23337),삼양초등학교(09163),연세대학교앞(13114),인수동장미원(09121),KT용산지사(03005),,,,서울시중부기술교육원.블루스퀘어(03161),용두시장앞(06181),삼육서울병원(06012),여의도역(19155),연희동대우아파트(13147),마장동주민센타(04298),,숭미초등학교(10224),우신향병원(06176),논현역(22014)
삼성동시장(21156),,서경로꿈마루도서관앞(08382),,서울역버스환승센터(02007),,,개포중학교(23457) - 회차,롯데마트삼양점.래미안1차아파트(09161),세브란스병원(13116),국립4.19민주묘지입구사거리(09109),삼각지역(03007),,,,순천향대학병원.한남오거리(03165),용두동한국의류시험연구원(06103),중랑교(06010),샛강역4번출구.여의도자이(19154),연희교차로(13148),신답역명문예식장(04267),,쌍문동대우이안아파트극동아파트앞(10226),고려대학교앞(06175),신사역(22016)
삼성동주민센터(21165),,대일외고서경대정문(08371),,남대문시장 앞(02219),,,개포중학교(23345),빨래골입구(09159),신촌기차역(13210),덕성여대입구(10221),숙대입구역(03009),,,,한남동(03213),신설동역(06101) - 회차,서울우유앞(07144),공군회관(19255),연희3거리(13150),동대문어린이집(06203),,세그루학원(10276),숭례초등학교(08155),한남대교전망카페(23531)
미림고개(21166),,서경대본관(08373) - 회차,,롯데영프라자(02142),,,개포2단지(23467),화계사입구(09157),이대역(13024),서라벌중학교.우이동대우아파트(10219),갈월동(03011),,,,한남시범아파트(03211),신설동역1번출구(06107),신성은하수아파트(07217),서울지방병무청(19014),한성화교중고교(13152),동대문중학교(06205),,방학3동주민센터(10302),종암동주민센터(08153),한남5거리(03166)
미림여고.미림여자정보과학고(21167),,서경대본관(08372),,우리은행종로지점(02139),,,시립도서관앞(23346),우이초등학교(09135),웨딩타운(13041),북서울교회(10218),서울역버스환승센터(02007),,,,옥정중학교입구(04169),대광고등학교앞(06178),면목2동한신아파트(07219),서울공업고등학교(20143),서대문자연사박물관입구(13154),대한노인회동대문구지회(06207),,방학3동신동아프라자(10208),종암경찰서(08151),순천향대학병원(03162)
신우초등학교(21168),,서경대정문앞(08800),,조계사(01201),,,개포3단지.수도전기공고후문(23347),가오리수유종합사회복지관(09123),아현역(13043),동아운수앞(10325),남대문시장 앞(02219),,,,옥수동삼성아파트(04161),안암오거리(06177),면목5동(07220),대림초등학교(20145),서대문구청서대문보건소(13156),서울시동부교육지원청.해성국제컨벤션고교(06190),,방학동신동아타워(10186),성가복지병원(08149),서울중부기술교육원.블루스퀘어(03160)
삼성산성지(21169),,서경로꿈마루도서관앞(08250),,안국역.종로경찰서.인사동(01200),,,개포주공5단지경기여고(23353),인수동장미원(09121),충정로역(13045),우이동성원아파트(09104),롯데영프라자(02142),,,,미타사입구(04163),우신향병원(06176),동서그랜드맨션(07222),신대방삼거리(20186),기업은행홍은동지점(13159),서울시립대입구(06188),,방학동신동아아파트(10189),미아사거리역(09012),버티고개(02237)
산장아파트(21170),,길원초등학교입구(08251),,창덕궁.서울돈화문국악당(01199),,,개포동역(23354),국립4.19민주묘지입구사거리(09110),서대문.서울시교육청(01168),,우리은행종로지점(02139),,,,금옥초등학교앞(04157),고려대학교앞(06175),하나은행면목지점(07224),보라매병원입구(20188),정원여중(13160),떡전교앞(06186),,국민은행방학지점(10191),도봉세무서.성북시장(09010),송도병원앞(02197)
삼성산주공아파트(21171),,열매교회(08253),,원남동사거리(01256),,,대치역강남구민회관(23239),국립4.19민주묘지(09197),독립문(01171),,조계사(01201),,,,금남시장앞.백범학원터(04153),숭례초등학교(08155),면목복개천(07226),롯데백화점관악점(21151),홍은현대아파트(13162),서울성심병원(06113),,신한은행방학동지점(10182),미아역.신일중고(09008),약수역7번출구.약수동주민센터(02196)
산복터널.관악산휴먼시아2단지(21172),,미화약국.길음뉴타운8단지(08381),,현대그룹빌딩(01218),,,은마아파트(23233),무량사입구(09311),사직단(01128),,안국역.종로경찰서.인사동(01200),,,,삼성래미안아파트앞(04159),종암동주민센터(08153),지하철7호선면목역(07228),롯데관악점(21230) - 회차,유진상가(13164),청량리미주아파트.동대문세무서(06021),,도깨비시장(10309),수유시장.성신여대미아캠퍼스앞(09006),약수역1번출구(02199)
벽산아파트1단지.호압사입구(18136),,정릉동동아아파트(08255),,통신대(이화장)(01219),,,은마파출소(23234),강북청소년수련관(09195),서울지방경찰청.경복궁역(01127),,창덕궁.서울돈화문국악당(01199),,,,응봉동현대아파트(04141),종암경찰서(08151),농협앞(07230),서울특별시.보라매병원(20217),문화촌현대아파트(13166),청량리역환승센타(06015),,원약국(10180),수유역.강북구청(09004),장충체육관앞(02201)
벽산아파트5단지(18138),,숭덕초교(08257),,혜화역.마로니에공원(01220),,,대치현대아파트(23247),,경복궁(01117),,창경궁(01224),,,,응봉동주민센터(04138),돈암1동주민센터(08126),혜원여중고후문(07232),보라매삼성아파트.모자원고개(21263),서울여자간호대학(13168),경동시장앞(06167),,방학2동주민센터(10167),수유3동우체국(09002),장충동.동국대입구(02203)
경인교육대후문(57602) - 회차,,정릉입구(08263),,혜화역.동성중고(장면총리가옥)(01229),,,휘문중고등학교(23248),,안국역.종로경찰서.인사동(01200),,명륜동2가.성균관대입구(01227),,,,응봉삼거리(04140),길음역(08124),서일대학교(07193),신대방삼거리(20187),유원하나아파트(13170),홍파초등학교(06170),,방학2동공영주차장(10165),우이1교앞(10127),광희동(02171)
벽산아파트5단지(18139),,아리랑고개.아리랑시네미디어센터(08265),,삼선교.한성대학교(08010),,,삼성역(23242),,창덕궁.서울돈화문국악당(01199),,삼선교.한성대학교(08010),,,,무학여고앞(04131),길음뉴타운10단지.라온유아파트(08400),용마문화복지센터(07196),대림초등학교(20146),홍지문.옥천암(13172),제기동한신아파트앞(06172),,오봉초등학교(10163),쌍문역(10126),동대문역사문화공원(02174)
벽산아파트1단지.호압사입구(18137),,돈암2동주민센터입구.흥천사(08267),,성신여대입구(08270),,,삼성역7번출구(23197),,창경궁(01224),,돈암사거리.성신여대입구(08008),,,,성동구청(04111),숭덕초교(08120),,서울공업고등학교(20144),세검정.상명대(01143),고려대역.고대앞삼거리(06173),,천주교도봉동교회(10161),정의여중고앞(10119),동대문(01233)
산복터널.관악산휴먼시아2단지(21173),,성신여대입구(08269),,돈암2동주민센터입구.흥천사(08268),,,봉은사역3번출구.삼성1파출소(23192),,명륜동2가.성균관대입구(01227),,미아리고개.미아리예술극장(08006),,,,도선사거리(04121),정릉2동주민센터(08118),,강남중학교(20006),세검정초등학교(01144),숭례초등학교(08155),,국민은행도봉지점(10109),도봉구민회관(10121),동묘앞(01041)
삼성산주공아파트(21174),,삼선동주민센터(08175),,아리랑고개.아리랑시네미디어센터(08266),,,청담역.경기고교(23188),,삼선교.한성대학교(08010),,길음뉴타운(08004),,,,마장축산물시장(04119),봉국사(08116),,서울지방병무청앞(20106),화정박물관(01164),종암동주민센터(08153),,서울북부지방법원.검찰청.도봉역성황당(10107),도봉구보건소앞(10217),신설동역1번출구(06107)
산장아파트(21175),,성북구청.성북경찰서(08177),,정릉입구(08264),,,우리은행청담지점.청담삼익아파트(23171),,돈암사거리.성신여대입구(08008),,월곡뉴타운(08002),,,,동대문구청.용두역3번출구(06164),고려대사범대학부속고등학교(08114),,공군회관(20107),서울예술고등학교.평창동주민센터(01163),종암경찰서(08151),,도봉동한신아파트(10104),쌍문동금호1차삼익아파트(10215),대광고등학교앞(06178)
삼성산성지(21176),,보문역(08295),,정릉우체국앞(08170),,,영동교입구.청담자이아파트(23168),,미아리고개.미아리예술극장(08006),,미아사거리역(09012),,,,동대문구청.용신동주민센터(06165),청덕초교(08112),,샛강역1번출구.여의도자이(19153),예능교회(01162),성가복지병원(08149),,도봉고등학교(10155),쌍문동현대.한양아파트(10213),안암오거리(06177)
신우초등학교(21177),,안암동주민센터(08297),,정릉시장입구(08168),,,프리마호텔(23166),,길음뉴타운(08004),,도봉세무서.성북시장(09010),,,,경동시장앞(06775),국민대학교앞(08110),,여의도역(19156),벽산평창힐스아파트(01161),현대백화점(08329),,도봉산입구(10317),쌍문동성원아파트(10211),우신향병원(06176)
미림여고.미림여자정보과학고(21178),,고려대이공대.고대병원(08299),,KEB.하나은행.정릉중앙지점(08166),,,청담초등학교(23165),,길음역(08124),,미아역.신일중고(09008),,,,홍파초등학교(06170),롯데아파트(01159),,국회의사당역.국민은행(19132),롯데아파트(01160),길음역(08248),,,방학동우성.청구아파트(10207),고려대학교앞(06175)
미림고개.고시촌입구(21179),,안암전철역(08301),,북한산보국문역1번출구(08409),,,한양아파트.압구정로데오역(23158),,길음뉴타운10단지.라온유아파트(08400),,수유시장.성신여대미아캠퍼스앞(09006),,,,제기동한신아파트앞(06172),일성아파트(01158),,국회의사당(19131),평창동삼성아파트(01293),길음동동부아파트(08174),,,초당초등학교(10205),숭례초등학교(08155)
관악농협신림지점앞(21180),,제기시장(06290),,정릉4동주민센터.경국사(08164),,,압구정파출소(23156),,숭덕초교(08120),,신일병원(09144),,,,고려대역.고대앞삼거리(06173),평창동주민센터(01157),,광흥창역.서강동주민센터(14200),국민대앞(08107),미아초교(08172),,,쌍문동우이빌라(10203),종암동주민센터(08153)
영광메디컬센터(21145),,홍파초등학교(06171),,정릉대우아파트(08162),,,현대아파트(23148),,정릉2동주민센터(08118),,강북노인종합복지관(09142),,,,숭례초등학교(08155),평창파출소(01156),,창전현대홈타운(14202),청덕초등학교(08111),송천초등학교.미아뉴타운입구(09169),,,쌍문동청한빌라(10201),종암경찰서(08151)
쑥고개입구(21146),,제기동주민센터.서울약령시앞(06168),,대진여객차고지(08344),,,광림교회.현대고등학교(23104),,봉국사(08116),,화계사입구사거리(09140),,,,종암동주민센터(08153),갑을씨티텔앞(01155),,신촌로터리(14205),북악중학교(08113),삼양동사거리(09167),,,동아운수앞(10325),성가복지병원(08149)
서원동문화교앞(21147),,엘림교회.대명신협앞(06418),,,,,신사중학교(23102),,고려대사범대학부속고등학교(08114),,수유동삼양탕앞(09138),,,,종암경찰서(08151),국민은행세검정지점(01146),,현대백화점(13259),봉국사(08115),강북청소년문화정보도서관입구(09165),,,우이동성원아파트(09104),미아사거리역(09012)
신림역2번출구(21377),,청량리역환승센타(06016),,,,,롯데캐슬아파트(22178),,청덕초교(08112),,화계사입구.한신대학교대학원(09136),,,,돈암1동주민센터(08126),구기동(01153),,동교동삼거리연희동방면(13144),정릉우체국앞(08170),삼양초등학교(09163),,,우이동도선사입구(09297),삼양동사거리입구(09174)
패션문화의거리입구(21149),,서울성심병원(06114),,,,,신반포13차아파트(22180),,국민대앞(08108),,인수동청수탕입구(09133),,,,길음역(08124),구기터널한국고전번역원(01150),,연희동대우아파트(13147),정릉시장입구(08168),롯데마트삼양점.래미안1차아파트(09161),,,,성암국제무역고등학교(09172)
보라매공원.보라매병원(21150),,휘경동입구(06117),,,,,신동중학교(22181),,,,우이초등학교후문(09131),,,,길음뉴타운10단지.라온유아파트(08400),구기터널입구(12252),,연희교차로(13148),KEB.하나은행.정릉중앙지점(08166),빨래골입구(09159),,,,삼양동사거리(09170)
보라매삼성아파트.모자원고개(21263),,삼육서울병원(06012),,,,,잠원한신아파트(22204),,,,서울영어마을수유캠프국립재활원입구(09119),,,,숭덕초교(08120),독박골.북한산래미안APT(12253),,연희3거리(13150),북한산보국문역1번출구(08409),화계사입구(09157),,,,강북청소년문화정보도서관입구(09165)
신대방삼거리(20187),,중랑교(06010),,,,,잠원성당(22205),,,,인수중학교(09117),,,,정릉우체국앞(08170),불광역.불광1동주민센터(12254),,한성화교중고교(13152),정릉4동주민센터.경국사(08164),화계사입구사거리(09140),,,,삼양초등학교(09163)
성대시장(20148),,중랑교동부시장(07321),,,,,뉴코아아울렛(22207),,,,인수동백운교회입구(09115),,,,정릉시장입구(08168),불광역(12103),,서대문자연사박물관입구(13154),정릉대우아파트(08162),수유동삼양탕앞(09138),,,,롯데마트삼양점.래미안1차아파트(09161)
상도초등학교입구(20149),,중화2동새마을금고(07319),,,,,고속터미널(22019),,,,국립419묘지삼거리.윤극영가옥(09113),,,,KEB.하나은행.정릉중앙지점(08166),불광역3.6호선(12104),,서대문구청서대문보건소(13156),정릉북한산국립공원입구(08347),화계사입구.한신대학교대학원(09305),,,,빨래골입구(09159)
청화병원(20193),,성은교회앞(07422),,,,,반포대교남단 한강시민공원입구(22382),,,,우이동주민센터입구(09278),,,,북한산보국문역1번출구(08409),동명여고(12105),,기업은행홍은동지점(13159),,,,,,화계사입구(09157)
동작구청.노량진초등학교앞(20191),,중화2동체육공원(07316),,,,,한강중학교(03155),,,,국립4.19민주묘지입구사거리(09109),,,,정릉4동주민센터.경국사(08164),연신내역(12106),,정원여중(13160),,,,,,우이초등학교(09135)
노량진역(20114),,중화2동주민센터(07252),,,,,용산구청.크라운호텔(03153),,,,덕성여대입구(10221),,,,정릉대우아파트(08162),연서시장(12185),,홍은현대아파트(13162),,,,,,가오리수유종합사회복지관(09123)
노들역(20013),,지하철7호선중화역3번출구(07254),,,,,국군재정관리단(03152),,,,서라벌중학교.우이동대우아파트(10219),,,,정릉북한산국립공원입구(08347),종로약국(12186),,유진상가(13164),,,,,,인수동장미원(09121)
노들섬(03341),,지하철7호선중화역2번출구(07256),,,,,이태원동남산대림아파트.용산동아파트(03149),,,,북서울교회(10218),,,,,불광지구대(12187),,문화촌현대아파트(13166),,,,,,국립4.19민주묘지입구사거리(09109)
한강대교북단.LG유플러스(03001),,중흥초등학교(07258),,,,,용암초등학교입구.이태원주공아파트(03148),,,,동아운수앞(10325),,,,,북한산대창센시티아파트(12188),,서울여자간호대학(13168),,,,,,덕성여대입구(10221)
신용산역(03003),,이화연립경동제일교회앞(07260),,,,,남산3호터널(02148),,,,우이동성원아파트(09104),,,,,은평경찰서(12189),,유원하나아파트(13170),,,,,,서라벌중학교.우이동대우아파트(10219)
KT용산지사(03005),,쌍용아파트신내테크노타운앞(07262),,,,,롯데영프라자(02142),,,,우이동도선사입구(09297),,,,,폭포동(12190),,홍지문.옥천암(13172),,,,,,북서울교회(10218)
삼각지역(03007),,엘지아파트앞(07264),,,,,우리은행종로지점(02139),,,,,,,,,은평노인종합복지관.신도중학교(12195),,세검정.상명대(01143),,,,,,동아운수앞(10325)
숙대입구역(03009),,신현중학교(07266),,,,,종로2가(01187),,,,,,,,,기자촌11단지앞(12471),,세검정초등학교(01144),,,,,,우이동성원아파트(09104)
갈월동(03011),,중랑구청(07268),,,,,종로3가(01183),,,,,,,,,푸르지오521동(12350),,화정박물관(01164),,,,,,우이동차고지종점(09294)
서울역버스환승센터(02007),,신내동성3차아파트(07275),,,,,종로4가.종묘(01181),,,,,,,,,하나고.삼천사.진관사입구(12437),,서울예술고등학교.평창동주민센터(01163),,,,,,
남대문시장 앞(02219),,신내동성1.2차아파트(07276),,,,,종로5가(01179),,,,,,,,,삼천리골입구56사단북한산부대(12230),,예능교회(01162),,,,,,
롯데영프라자(02142),,신내9단지아파트.서울의료원(07280),,,,,종로5가.효제동(01204),,,,,,,,,푸르지오621동앞(12432),,벽산평창힐스아파트(01161),,,,,,
을지로입구.로얄호텔(02156),,중랑소방서(07347),,,,,통신대(이화장)(01219),,,,,,,,,아이파크708동앞(12457),,롯데아파트(01160),,,,,,
을지로2가.파인에비뉴(02159),,신내7단지아파트홈플러스(07282),,,,,혜화역.마로니에공원(01220),,,,,,,,,진관중고교앞(12430),,평창동삼성아파트(01293),,,,,,
을지로3가(02161),,신내6단지아파트(07367),,,,,혜화역.동성중고(장면총리가옥)(01229),,,,,,,,,래미안909동앞(12436),,국민대앞(08107),,,,,,
을지로4가.베스트웨스턴국도(02163),,신내우체국(07289),,,,,삼선교.한성대학교(08010),,,,,,,,,구파발역.롯데몰(12113),,청덕초등학교(08111),,,,,,
을지로5가.중부시장(02166),,구립도서관체육관(07291),,,,,돈암사거리.성신여대입구(08008),,,,,,,,,은평뉴타운10단지(12009),,북악중학교(08113),,,,,,
을지로6가.국립중앙의료원(02169),,신내4단지아파트(07293),,,,,미아리고개.미아리예술극장(08006),,,,,,,,,진관공영차고지(12470),,봉국사(08115),,,,,,
동대문역사문화공원(02174),,태릉고등학교.원묵초등학교(07431),,,,,길음뉴타운(08004),,,,,,,,,,,정릉2동주민센터(08117),,,,,,
동대문(01233),,지하철6호선화랑대역(07295),,,,,길음역(08124),,,,,,,,,,,숭덕초교(08119),,,,,,
동묘앞(01041),,지하철6호선화랑대역(07294),,,,,길음뉴타운10단지.라온유아파트(08400),,,,,,,,,,,정릉길음시장(08121),,,,,,
신설동역1번출구(06107),,봉화산역3번출구(07297),,,,,숭덕초교(08120),,,,,,,,,,,돈암동삼성아파트입구(08123),,,,,,
보문동주민센터(08184),,서울의료원후문(07432),,,,,정릉우체국앞(08170),,,,,,,,,,,월곡뉴타운(08002),,,,,,
브라운호텔(08182),,신내데시앙아파트후문(07434),,,,,정릉시장입구(08168),,,,,,,,,,,미아사거리역(09012),,,,,,
보문역(08180),,중랑공영차고지(07337),,,,,KEB.하나은행.정릉중앙지점(08166),,,,,,,,,,,도봉세무서.성북시장(09010),,,,,,
성북구청.성북경찰서(08178),,,,,,,북한산보국문역1번출구(08409),,,,,,,,,,,미아역.신일중고(09008),,,,,,
삼선동주민센터(08176),,,,,,,정릉4동주민센터.경국사(08164),,,,,,,,,,,수유시장.성신여대미아캠퍼스앞(09006),,,,,,
돈암사거리.성신여대입구(08008),,,,,,,정릉대우아파트(08162),,,,,,,,,,,수유역.강북구청(09004),,,,,,
미아리고개.미아리예술극장(08006),,,,,,,대진여객차고지(08344),,,,,,,,,,,강북구청(09147),,,,,,
돈암동삼성아파트입구(08123),,,,,,,,,,,,,,,,,,광산사거리(09129),,,,,,
길음동동부아파트(08174),,,,,,,,,,,,,,,,,,수유2동주민센터우이시장(09127),,,,,,
미아초교(08172),,,,,,,,,,,,,,,,,,북부성모의원(09124),,,,,,
송천초등학교.미아뉴타운입구(09169),,,,,,,,,,,,,,,,,,국립4.19민주묘지입구사거리(09109),,,,,,
삼양동사거리(09167),,,,,,,,,,,,,,,,,,덕성여대입구(10221),,,,,,
동북시장(09220),,,,,,,,,,,,,,,,,,서라벌중학교.우이동대우아파트(10219),,,,,,
SK아파트입구(09222),,,,,,,,,,,,,,,,,,북서울교회(10218),,,,,,
삼양동벽산라이브파크미양초등학교(09224),,,,,,,,,,,,,,,,,,동아운수앞(10325),,,,,,
미양중고등학교.팔팔·미송경로당(09217),,,,,,,,,,,,,,,,,,우이동성원아파트(09104),,,,,,
구세군강북종합사회복지관입구(09216),,,,,,,,,,,,,,,,,,우이동도선사입구(09297),,,,,,
우광타운(09214),,,,,,,,,,,,,,,,,,,,,,,,
혜화여고(09212),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
