152,1162,2115,1014,162,성북22,성북20,143,104,171,109,151,1113,1164,1114,110B,7211,1213,153,110A,121,1115,1128,101,144
길음동동부아파트(08173),돈암2동주민센터입구.흥천사(08267),신내우체국(07288),돈암2동주민센터입구.흥천사(08267),삼선교.한성대학교(08009),돈암시장입구(08305),고명중고교(08598),삼선교.한성대학교(08009),삼양초등학교(09162),창경궁.서울대학교병원(01002),빨래골입구(09158),서울영어마을수유캠프국립재활원입구(09118),성북우체국현대백화점(08327),길음시장(08245),정릉길음시장(08121),국민대학교앞(08110),푸르지오614동앞(12456),신성은하수아파트(07216),수유(강북구청)역(09013),돈암1동주민센터(08125),송천초등학교.미아뉴타운입구(09168),미아초교(08171),방학동도깨비시장(10310),도봉구민회관(10013),화계사입구(09156)
길음뉴타운(08003),성신여대입구(08269),신내6단지(07286),성신여대입구(08269),혜화동로터리(01005),삼선동주민센터(08997) - 회차,브라운스톤(08727),혜화동로터리(01005),강북청소년문화정보도서관입구(09164),창덕궁.서울돈화문국악당(01172),롯데마트삼양점.래미안1차아파트(09160),우이초등학교후문(09130),숭곡초교입구(08101),길음역(08247),길음시장(08245),롯데아파트(01159),삼천리골입구56사단북한산부대(12237),서울우유앞(07145),수유역(09003),종암사거리(08127),미아초교(08171),길음동동부아파트(08173),신한은행방학동지점(10183),쌍문역(10015),빨래골입구(09158)
미아리고개.미아리예술극장(08005),돈암시장입구(08305),신내7단지아파트홈플러스(07281),돈암시장입구(08305),명륜3가.성대입구(01003),성신여대앞(08882),힐스테이트(08749),명륜3가.성대입구(01003),삼양동사거리(09166),안국역.종로경찰서.인사동(01131),삼양초등학교(09162),인수동청수탕입구(09132),월곡1동주민센터(08283),성북우체국현대백화점(08327),길음역(08336) - 회차,일성아파트(01158),입곡삼거리(12440),중랑교(06009),수유시장.성신여대미아캠퍼스앞(09005),종암경찰서(08150),길음동동부아파트(08173),길음역(08247),국민은행방학지점(10192),우이1교앞(10017),롯데마트삼양점.래미안1차아파트(09160)
돈암사거리.성신여대입구(08007),성북구청(08307),중랑소방서(07354),성북구청.성북경찰서(08177),창경궁.서울대학교병원(01002),정덕초교입구.이수아파트(08537),우성APT정문(08767),창경궁.서울대학교병원(01002),송천초등학교.미아뉴타운입구(09168),사직동주민센터(01114),강북청소년문화정보도서관입구(09164),한신대학교(09263),밤나무골시장(08285),숭곡초교입구(08101),길음뉴타운10단지.라온유아파트(08400),평창동주민센터(01157),하나고.삼천사.진관사입구(12464),삼육서울병원(06011),미아역.신일중고(09007),종암동주민센터(08152),길음역(08247),성북우체국현대백화점(08327) - 회차,방학동신동아아파트(10190),수유3동우체국(09001),삼양초등학교(09162)
삼선동주민센터(08175),보문2교(08309),신내8단지아파트.서울의료원(07279),보문역(08179),창덕궁.서울돈화문국악당(01172),돈암지구대.현대아파트(08552),아리랑고개.아리랑시네미디어센터(08265),원남동(01198),미아초교(08171),사직단(01113),삼양동사거리(09166),화계사입구.한신대학교대학원(09137),월곡동두산아파트(08287),숭곡초교후문(08401),숭덕초교(08120),평창파출소(01156),푸르지오530동앞(12351),시조사삼거리(06013),도봉세무서.성북시장(09009),숭례초교(08154),성북우체국현대백화점(08327),미아사거리역.롯데백화점(09306),방학3동신동아프라자(10188),수유(강북구청)역(09013),강북청소년문화정보도서관입구(09164)
성북구청.성북경찰서(08177),성신여대후문(08311),신내9단지아파트(07278),브라운호텔(08181),안국역.종로경찰서.인사동(01295),돈암신일해피트리아파트(08569),정덕초등학교(08795),종로4가(01196),길음동동부아파트(08173),영천시장(13133),송천초등학교.미아뉴타운입구(09168),수유동삼양탕앞(09139),생명의전화(08289) - 회차,월곡아남아파트(08402) - 회차,정릉2동주민센터(08118),갑을씨티텔앞(01155),신도중학교(12192),떡전교사거리.동대문노인복지관(06014),미아사거리역(09011),고려대역.고대앞삼거리(06174),성가복지병원(08148),삼양동사거리입구(09174),방학3동주민센터(10209),수유역(09003),삼양동사거리(09171)
보문역(08179),용문중고교.안암초교(08314),신내10단지아파트(07277),보문동주민센터(08183),안국동(01203),돈암코오롱하늘채아파트(08849),흥천사입구(08814),종로3가(01194),길음뉴타운(08003),금화초등학교.서울시교육청(13134),미아초교(08171),화계사입구사거리(09141),성북구보건소(08131),월곡동신아파트(08403),봉국사(08116),세검정초등학교(01133),폭포동.은평노인종합복지관(12197),청량리미주아파트.동대문세무서(06021),월곡뉴타운(08001),홍파초등학교(06171),종암경찰서(08150),성암국제무역고등학교(09172),세그루학원(10277),수유시장.성신여대미아캠퍼스앞(09005),성암국제무역고등학교(09173)
브라운호텔(08181),안암동주민센터(08298),중랑구청(07267),신설동로타리(01243),조계사(01202),일신휴먼빌.우정아파트(08848),성신여대입구역(08505) - 회차,종로2가(01193),미아리고개.미아리예술극장(08005),미동초등학교(13240),길음동동부아파트(08173),강북노인종합복지관(09143),생명의전화(08290),KT월곡지사(08129),정릉3동주민센터앞(08321),세검정.상명대(01134),은평경찰서(12198),청량리역환승센타(06015),길음뉴타운(08003),제기동주민센터.서울약령시앞(06168),종암동주민센터(08152),삼양동사거리(09170),쌍문동극동아파트대우이안아파트앞(10227),미아역.신일중고(09007),삼양동사거리입구(09175)
보문동주민센터(08183),보문역(08296) - 회차,신현중학교(07265),동묘앞(01245),을지로입구역.광교(02246),정릉꿈에그린아파트(08840),돈암시장입구(08305),롯데백화점(02140),돈암사거리.성신여대입구(08007),충정로역(13046),길음뉴타운(08003),신일병원(09145),월곡동두산아파트(08288),돈암1동주민센터(08126),삼덕단지앞(08323),홍지문(13173),연신초등학교(12199),경동시장앞(06775),정릉길음시장.길음뉴타운9단지(08122),경동시장(06169),숭례초교(08154),삼양동사거리(09166),숭미초등학교(10225),도봉세무서.성북시장(09009),미아사거리역(09011)
신설동로타리(01243),성북구청.성북경찰서(08178),엘지아파트앞(07263),종로구민회관숭인동(01240) - 회차,해운센터.롯데영프라자(02141),아리랑시장(08843),삼선동주민센터(08997),신세계앞(02144),삼선교.한성대학교(08009),아현역(13044),미아리고개.미아리예술극장(08005),수유시장.성신여대미아캠퍼스앞(09005),월곡삼성래미안아파트(08286),길음역(08336),솔샘사거리(08325),유원하나아파트(13171),불광지구대(12200),홍파초등학교(06170),숭덕초교(08120),동대문구청.용신동주민센터(06166),고려대역.고대앞삼거리(06174),송천초등학교.미아뉴타운입구(09168),쌍문초등학교(10223),미아사거리역(09011),성가복지병원(08148)
